MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1530,,,,,G4,20368,G4,254NV,1530,11721,1172105,31721,FNT,14761,1476107,34761,SFB,730,720.0,-10.0,0.0,0.0,-1.0,0700-0759,30.0,750.0,954.0,7.0,1014,1001.0,-13.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,N,164.0,161.0,124.0,1.0,988.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1533,,,,,G4,20368,G4,280NV,1533,10466,1046602,30466,AZA,11721,1172105,31721,FNT,1405,1458.0,53.0,53.0,1.0,3.0,1400-1459,12.0,1510.0,2003.0,8.0,1948,2011.0,23.0,23.0,1.0,1.0,1900-1959,0.0,,0.0,N,223.0,193.0,173.0,1.0,1650.0,7,14.0,0.0,0.0,0.0,9.0,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1550,,,,,G4,20368,G4,254NV,1550,11721,1172105,31721,FNT,14082,1408203,34082,PGD,1434,1447.0,13.0,13.0,0.0,0.0,1400-1459,8.0,1455.0,1734.0,7.0,1735,1741.0,6.0,6.0,0.0,0.0,1700-1759,0.0,,0.0,N,181.0,174.0,159.0,1.0,1111.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1564,,,,,G4,20368,G4,284NV,1564,10408,1040805,30408,ATW,10466,1046602,30466,AZA,1000,952.0,-8.0,0.0,0.0,-1.0,1000-1059,55.0,1047.0,1320.0,11.0,1251,1331.0,40.0,40.0,1.0,2.0,1200-1259,0.0,,0.0,N,231.0,279.0,213.0,1.0,1452.0,6,0.0,0.0,40.0,0.0,0.0,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1565,,,,,G4,20368,G4,258NV,1565,14112,1411206,33195,PIE,10408,1040805,30408,ATW,1640,1633.0,-7.0,0.0,0.0,-1.0,1600-1659,9.0,1642.0,1826.0,4.0,1842,1830.0,-12.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,N,182.0,177.0,164.0,1.0,1173.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1588,,,,,G4,20368,G4,209NV,1588,10466,1046602,30466,AZA,14314,1431402,34314,PVU,2043,2048.0,5.0,5.0,0.0,0.0,2000-2059,11.0,2059.0,2215.0,4.0,2217,2219.0,2.0,2.0,0.0,0.0,2200-2259,0.0,,0.0,N,94.0,91.0,76.0,1.0,477.0,2,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1603,,,,,G4,20368,G4,209NV,1603,14112,1411206,33195,PIE,14314,1431402,34314,PVU,1442,1446.0,4.0,4.0,0.0,0.0,1400-1459,24.0,1510.0,1723.0,6.0,1737,1729.0,-8.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,N,295.0,283.0,253.0,1.0,1857.0,8,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1640,,,,,G4,20368,G4,250NV,1640,13256,1325602,33256,MFE,12889,1288904,32211,LAS,1929,1920.0,-9.0,0.0,0.0,-1.0,1900-1959,12.0,1932.0,2011.0,6.0,2046,2017.0,-29.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,N,197.0,177.0,159.0,1.0,1210.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,168,,,,,G4,20368,G4,217NV,168,10135,1013506,30135,ABE,14082,1408203,34082,PGD,1200,1147.0,-13.0,0.0,0.0,-1.0,1200-1259,29.0,1216.0,1451.0,6.0,1502,1457.0,-5.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,N,182.0,190.0,155.0,1.0,1018.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,174,,,,,G4,20368,G4,217NV,174,14082,1408203,34082,PGD,10135,1013506,30135,ABE,1547,1543.0,-4.0,0.0,0.0,-1.0,1500-1559,23.0,1606.0,1825.0,4.0,1822,1829.0,7.0,7.0,0.0,0.0,1800-1859,0.0,,0.0,N,155.0,166.0,139.0,1.0,1018.0,5,,,,,,,,
