MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1,,,,,G4,20368,G4,259NV,1,12889,1288903,32211,LAS,11638,1163807,31638,FAT,949,946.0,-3.0,0.0,0.0,-1.0,0900-0959,14.0,1000.0,1051.0,4.0,1059,1055.0,-4.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,70.0,69.0,51.0,1.0,259.0,2,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1009,,,,,G4,20368,G4,202NV,1009,11986,1198603,31986,GRR,14986,1498603,34986,SRQ,830,817.0,-13.0,0.0,0.0,-1.0,0800-0859,13.0,830.0,1047.0,4.0,1105,1051.0,-14.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,155.0,154.0,137.0,1.0,1080.0,5,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1010,,,,,G4,20368,G4,250NV,1010,11986,1198603,31986,GRR,14761,1476107,34761,SFB,800,756.0,-4.0,0.0,0.0,-1.0,0800-0859,12.0,808.0,1017.0,8.0,1030,1025.0,-5.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,150.0,149.0,129.0,1.0,1001.0,5,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1023,,,,,G4,20368,G4,202NV,1023,14986,1498603,34986,SRQ,11986,1198603,31986,GRR,1150,1142.0,-8.0,0.0,0.0,-1.0,1100-1159,23.0,1205.0,1422.0,7.0,1432,1429.0,-3.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,162.0,167.0,137.0,1.0,1080.0,5,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1087,,,,,G4,20368,G4,276NV,1087,12339,1233904,32337,IND,13577,1357702,31135,MYR,1037,1033.0,-4.0,0.0,0.0,-1.0,1000-1059,13.0,1046.0,1208.0,4.0,1216,1212.0,-4.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,99.0,99.0,82.0,1.0,583.0,3,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1088,,,,,G4,20368,G4,238NV,1088,14112,1411206,33195,PIE,12339,1233904,32337,IND,1154,1213.0,19.0,19.0,1.0,1.0,1100-1159,13.0,1226.0,1416.0,7.0,1408,1423.0,15.0,15.0,1.0,1.0,1400-1459,0.0,,0.0,134.0,130.0,110.0,1.0,840.0,4,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1097,,,,,G4,20368,G4,276NV,1097,12339,1233904,32337,IND,15624,1562404,31504,VPS,1544,1540.0,-4.0,0.0,0.0,-1.0,1500-1559,14.0,1554.0,1629.0,13.0,1634,1642.0,8.0,8.0,0.0,0.0,1600-1659,0.0,,0.0,110.0,122.0,95.0,1.0,637.0,3,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1102,,,,,G4,20368,G4,276NV,1102,15624,1562404,31504,VPS,12339,1233904,32337,IND,1719,1727.0,8.0,8.0,0.0,0.0,1700-1759,15.0,1742.0,2016.0,6.0,2011,2022.0,11.0,11.0,0.0,0.0,2000-2059,0.0,,0.0,112.0,115.0,94.0,1.0,637.0,3,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1152,,,,,G4,20368,G4,276NV,1152,13577,1357702,31135,MYR,12339,1233904,32337,IND,1301,1258.0,-3.0,0.0,0.0,-1.0,1300-1359,15.0,1313.0,1438.0,6.0,1445,1444.0,-1.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,104.0,106.0,85.0,1.0,583.0,3,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1155,,,,,G4,20368,G4,238NV,1155,12339,1233904,32337,IND,14112,1411206,33195,PIE,900,918.0,18.0,18.0,1.0,1.0,0900-0959,17.0,935.0,1125.0,5.0,1109,1130.0,21.0,21.0,1.0,1.0,1100-1159,0.0,,0.0,129.0,132.0,110.0,1.0,840.0,4,,,
G4,2022,2,6,1,3,6/1/2022 12:00:00 AM,G4,20368,G4,1174,,,,,G4,20368,G4,288NV,1174,10627,1062702,30627,BIS,10466,1046602,30466,AZA,1756,1808.0,12.0,12.0,0.0,0.0,1700-1759,12.0,1820.0,1838.0,7.0,1840,1845.0,5.0,5.0,0.0,0.0,1800-1859,0.0,,0.0,164.0,157.0,138.0,1.0,1092.0,5,,,
