MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1,,,,,G4,20368,G4,245NV,1,12889,1288903,32211,LAS,10279,1027903,30279,AMA,1302,1259.0,-3.0,0.0,0.0,-1.0,1300-1359,25.0,1324.0,1704.0,5.0,1704,1709.0,5.0,5.0,0.0,0.0,1700-1759,0.0,,0.0,122.0,130.0,100.0,1.0,758.0,4,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,10,,,,,G4,20368,G4,334NV,10,11775,1177502,31775,FSD,12889,1288903,32211,LAS,2108,2132.0,24.0,24.0,1.0,1.0,2100-2159,15.0,2147.0,2208.0,10.0,2158,2218.0,20.0,20.0,1.0,1.0,2100-2159,0.0,,0.0,170.0,166.0,141.0,1.0,1104.0,5,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1004,,,,,G4,20368,G4,235NV,1004,13931,1393102,33667,ORF,14112,1411206,33195,PIE,1445,1514.0,29.0,29.0,1.0,1.0,1400-1459,15.0,1529.0,1729.0,5.0,1649,1734.0,45.0,45.0,1.0,3.0,1600-1659,0.0,,0.0,124.0,140.0,120.0,1.0,726.0,3,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1005,,,,,G4,20368,G4,295NV,1005,14112,1411206,33195,PIE,14108,1410803,34108,PIA,820,811.0,-9.0,0.0,0.0,-1.0,0800-0859,12.0,823.0,932.0,8.0,945,940.0,-5.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,145.0,149.0,129.0,1.0,965.0,4,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1006,,,,,G4,20368,G4,296NV,1006,12544,1254404,32544,USA,14112,1411206,33195,PIE,1102,1055.0,-7.0,0.0,0.0,-1.0,1100-1159,8.0,1103.0,1224.0,6.0,1240,1230.0,-10.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,98.0,95.0,81.0,1.0,528.0,3,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1018,,,,,G4,20368,G4,208NV,1018,14112,1411206,33195,PIE,12917,1291703,31066,LCK,1626,1712.0,46.0,46.0,1.0,3.0,1600-1659,25.0,1737.0,1923.0,5.0,1835,1928.0,53.0,53.0,1.0,3.0,1800-1859,0.0,,0.0,129.0,136.0,106.0,1.0,821.0,4,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1020,,,,,G4,20368,G4,295NV,1020,14108,1410803,34108,PIA,14112,1411206,33195,PIE,1030,1026.0,-4.0,0.0,0.0,-1.0,1000-1059,11.0,1037.0,1350.0,6.0,1351,1356.0,5.0,5.0,0.0,0.0,1300-1359,0.0,,0.0,141.0,150.0,133.0,1.0,965.0,4,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1035,,,,,G4,20368,G4,296NV,1035,14112,1411206,33195,PIE,15070,1507003,31703,SWF,1325,1312.0,-13.0,0.0,0.0,-1.0,1300-1359,11.0,1323.0,1550.0,8.0,1612,1558.0,-14.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,167.0,166.0,147.0,1.0,1055.0,5,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,106,,,,,G4,20368,G4,292NV,106,12889,1288903,32211,LAS,15624,1562404,31504,VPS,1329,1349.0,20.0,20.0,1.0,1.0,1300-1359,16.0,1405.0,1928.0,8.0,1908,1936.0,28.0,28.0,1.0,1.0,1900-1959,0.0,,0.0,219.0,227.0,203.0,1.0,1695.0,7,,,
G4,2022,3,9,1,4,9/1/2022 12:00:00 AM,G4,20368,G4,1073,,,,,G4,20368,G4,280NV,1073,14112,1411206,33195,PIE,15295,1529502,35165,TOL,1601,1646.0,45.0,45.0,1.0,3.0,1600-1659,27.0,1713.0,1910.0,7.0,1822,1917.0,55.0,55.0,1.0,3.0,1800-1859,0.0,,0.0,141.0,151.0,117.0,1.0,945.0,4,,,
