MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,100,,,,,F9,20436,F9,N336FR,100,10397,1039707,30397,ATL,14843,1484306,34819,SJU,2122,2117.0,-5.0,0.0,0.0,-1.0,2100-2159,16.0,2133.0,43.0,6.0,112,49.0,-23.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,230.0,212.0,190.0,1.0,1547.0,7,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,1006,,,,,F9,20436,F9,N391FR,1006,13204,1320402,31454,MCO,10257,1025702,30257,ALB,1632,1631.0,-1.0,0.0,0.0,-1.0,1600-1659,12.0,1643.0,1907.0,5.0,1930,1912.0,-18.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,178.0,161.0,144.0,1.0,1073.0,5,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,1007,,,,,F9,20436,F9,N391FR,1007,10257,1025702,30257,ALB,13204,1320402,31454,MCO,2015,2003.0,-12.0,0.0,0.0,-1.0,2000-2059,15.0,2018.0,58.0,20.0,2329,118.0,,,,,2300-2359,0.0,,1.0,194.0,,,1.0,1073.0,5,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,101,,,,,F9,20436,F9,N368FR,101,14843,1484306,34819,SJU,10397,1039707,30397,ATL,1358,1530.0,92.0,92.0,1.0,6.0,1300-1359,18.0,1548.0,1856.0,14.0,1752,1910.0,78.0,78.0,1.0,5.0,1700-1759,0.0,,0.0,234.0,220.0,188.0,1.0,1547.0,7,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,1010,,,,,F9,20436,F9,N318FR,1010,10397,1039707,30397,ATL,13204,1320402,31454,MCO,545,932.0,227.0,227.0,1.0,12.0,0001-0559,15.0,947.0,1049.0,9.0,726,1058.0,212.0,212.0,1.0,12.0,0700-0759,0.0,,0.0,101.0,86.0,62.0,1.0,404.0,2,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,1011,,,,,F9,20436,F9,N318FR,1011,13204,1320402,31454,MCO,10397,1039707,30397,ATL,2218,2320.0,62.0,62.0,1.0,4.0,2200-2259,15.0,2335.0,37.0,8.0,2354,45.0,51.0,51.0,1.0,3.0,2300-2359,0.0,,0.0,96.0,85.0,62.0,1.0,404.0,2,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,1012,,,,,F9,20436,F9,N304FR,1012,10397,1039707,30397,ATL,13204,1320402,31454,MCO,2006,2026.0,20.0,20.0,1.0,1.0,2000-2059,18.0,2044.0,2146.0,18.0,2158,2204.0,6.0,6.0,0.0,0.0,2100-2159,0.0,,0.0,112.0,98.0,62.0,1.0,404.0,2,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,1013,,,,,F9,20436,F9,N362FR,1013,13204,1320402,31454,MCO,10397,1039707,30397,ATL,600,556.0,-4.0,0.0,0.0,-1.0,0600-0659,24.0,620.0,721.0,26.0,735,747.0,12.0,12.0,0.0,0.0,0700-0759,0.0,,0.0,95.0,111.0,61.0,1.0,404.0,2,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,102,,,,,F9,20436,F9,N387FR,102,14492,1449202,34492,RDU,14843,1484306,34819,SJU,819,826.0,7.0,7.0,0.0,0.0,0800-0859,18.0,844.0,1212.0,8.0,1205,1220.0,15.0,15.0,1.0,1.0,1200-1259,0.0,,0.0,226.0,234.0,208.0,1.0,1433.0,6,,,
F9,2022,3,8,1,1,8/1/2022 12:00:00 AM,F9,20436,F9,103,,,,,F9,20436,F9,N387FR,103,14843,1484306,34819,SJU,14492,1449202,34492,RDU,1300,1316.0,16.0,16.0,1.0,1.0,1300-1359,15.0,1331.0,1646.0,8.0,1652,1654.0,2.0,2.0,0.0,0.0,1600-1659,0.0,,0.0,232.0,218.0,195.0,1.0,1433.0,6,,,
