MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1,,,,,G4,20368,G4,327NV,1,12889,1288904,32211,LAS,10620,1062003,30620,BIL,1611,1604.0,-7.0,0.0,0.0,-1.0,1600-1659,17.0,1621.0,1852.0,7.0,1915,1859.0,-16.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,N,124.0,115.0,91.0,1.0,754.0,4,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1010,,,,,G4,20368,G4,313NV,1010,10676,1067603,30676,BLV,14112,1411206,33195,PIE,2022,2014.0,-8.0,0.0,0.0,-1.0,2000-2059,8.0,2022.0,2256.0,7.0,2333,2303.0,-30.0,0.0,0.0,-2.0,2300-2359,0.0,,0.0,N,131.0,109.0,94.0,1.0,841.0,4,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1017,,,,,G4,20368,G4,313NV,1017,14112,1411206,33195,PIE,10676,1067603,30676,BLV,1818,1758.0,-20.0,0.0,0.0,-2.0,1800-1859,8.0,1806.0,1910.0,4.0,1937,1914.0,-23.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,N,139.0,136.0,124.0,1.0,841.0,4,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1024,,,,,G4,20368,G4,282NV,1024,14112,1411206,33195,PIE,11537,1153706,31537,ELM,1528,1523.0,-5.0,0.0,0.0,-1.0,1500-1559,16.0,1539.0,1752.0,4.0,1808,1756.0,-12.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,N,160.0,153.0,133.0,1.0,1035.0,5,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1038,,,,,G4,20368,G4,281NV,1038,14512,1451202,34512,RFD,14112,1411206,33195,PIE,945,936.0,-9.0,0.0,0.0,-1.0,0900-0959,7.0,943.0,1243.0,7.0,1323,1250.0,-33.0,0.0,0.0,-2.0,1300-1359,0.0,,0.0,N,158.0,134.0,120.0,1.0,1049.0,5,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,104,,,,,G4,20368,G4,338NV,104,12003,1200305,31895,GTF,12889,1288904,32211,LAS,1949,1921.0,-28.0,0.0,0.0,-2.0,1900-1959,13.0,1934.0,2033.0,6.0,2058,2039.0,-19.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,N,129.0,138.0,119.0,1.0,811.0,4,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1043,,,,,G4,20368,G4,320NV,1043,14112,1411206,33195,PIE,14025,1402501,34025,PBG,900,852.0,-8.0,0.0,0.0,-1.0,0900-0959,16.0,908.0,1143.0,9.0,1208,1152.0,-16.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,N,188.0,180.0,155.0,1.0,1262.0,6,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1050,,,,,G4,20368,G4,261NV,1050,14112,1411206,33195,PIE,12223,1222305,32223,HTS,1836,1827.0,-9.0,0.0,0.0,-1.0,1800-1859,9.0,1836.0,2015.0,5.0,2035,2020.0,-15.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,N,119.0,113.0,99.0,1.0,721.0,3,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1062,,,,,G4,20368,G4,283NV,1062,14112,1411206,33195,PIE,13230,1323002,32070,MDT,1247,1235.0,-12.0,0.0,0.0,-1.0,1200-1259,11.0,1246.0,1443.0,6.0,1514,1449.0,-25.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,N,147.0,134.0,117.0,1.0,912.0,4,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1067,,,,,G4,20368,G4,255NV,1067,14112,1411206,33195,PIE,11267,1126702,31267,DAY,630,624.0,-6.0,0.0,0.0,-1.0,0600-0659,9.0,633.0,832.0,6.0,851,838.0,-13.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,N,141.0,134.0,119.0,1.0,831.0,4,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,108,,,,,G4,20368,G4,322NV,108,12889,1288904,32211,LAS,12280,1228002,32280,IDA,751,744.0,-7.0,0.0,0.0,-1.0,0700-0759,16.0,800.0,1009.0,4.0,1039,1013.0,-26.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,N,108.0,89.0,69.0,1.0,538.0,3,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1088,,,,,G4,20368,G4,243NV,1088,14112,1411206,33195,PIE,14524,1452401,34524,RIC,1825,1815.0,-10.0,0.0,0.0,-1.0,1800-1859,10.0,1825.0,2004.0,6.0,2024,2010.0,-14.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,N,119.0,115.0,99.0,1.0,731.0,3,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1095,,,,,G4,20368,G4,313NV,1095,14112,1411206,33195,PIE,11624,1162403,31624,EYW,1329,1317.0,-12.0,0.0,0.0,-1.0,1300-1359,29.0,1346.0,1435.0,5.0,1430,1440.0,10.0,10.0,0.0,0.0,1400-1459,0.0,,0.0,N,61.0,83.0,49.0,1.0,238.0,1,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1096,,,,,G4,20368,G4,313NV,1096,14112,1411206,33195,PIE,13367,1336707,33367,MLI,640,630.0,-10.0,0.0,0.0,-1.0,0600-0659,9.0,639.0,753.0,7.0,827,800.0,-27.0,0.0,0.0,-2.0,0800-0859,0.0,,0.0,N,167.0,150.0,134.0,1.0,1033.0,5,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,11,,,,,G4,20368,G4,312NV,11,12889,1288904,32211,LAS,11540,1154005,30615,ELP,1440,1438.0,-2.0,0.0,0.0,-1.0,1400-1459,41.0,1519.0,1740.0,5.0,1718,1745.0,27.0,27.0,1.0,1.0,1700-1759,0.0,,0.0,N,98.0,127.0,81.0,1.0,583.0,3,,,
G4,2023,2,5,1,1,5/1/2023 12:00:00 AM,G4,20368,G4,1100,,,,,G4,20368,G4,313NV,1100,11624,1162403,31624,EYW,14112,1411206,33195,PIE,1520,1529.0,9.0,9.0,0.0,0.0,1500-1559,8.0,1537.0,1624.0,6.0,1621,1630.0,9.0,9.0,0.0,0.0,1600-1659,0.0,,0.0,N,61.0,61.0,47.0,1.0,238.0,1,,,
