Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,33.820000,34.070000,32.099998,32.599998,31.906420,11467600
2023-01-04,32.750000,34.029999,32.700001,33.619999,32.904720,8497300
2023-01-05,33.250000,33.840000,33.250000,33.529999,32.816635,5208000
2023-01-06,33.000000,35.130001,32.830002,35.080002,34.333660,10662800
2023-01-09,35.110001,35.930000,34.919998,35.610001,35.032139,7866300
2023-01-10,35.490002,36.240002,35.209999,36.209999,35.622402,5432900
2023-01-11,35.610001,36.419998,35.450001,35.970001,35.386295,8963700
2023-01-12,36.500000,37.020000,36.110001,36.970001,36.370071,8037300
2023-01-13,36.029999,37.020000,35.900002,36.990002,36.389744,5585800
2023-01-17,36.990002,37.099998,36.439999,37.040001,36.438931,6791000
2023-01-18,37.630001,37.709999,35.799999,36.299999,35.710941,9224300
2023-01-19,36.000000,36.680000,35.730000,36.450001,35.858505,5490200
2023-01-20,36.820000,37.110001,36.450001,37.060001,36.458607,5762900
2023-01-23,37.139999,37.200001,36.529999,36.689999,36.094612,6098600
2023-01-24,36.490002,36.980000,36.419998,36.680000,36.084778,3900300
2023-01-25,36.419998,36.900002,36.259998,36.869999,36.271687,6402600
2023-01-26,36.000000,36.349998,34.820000,35.700001,35.120674,16712000
2023-01-27,35.480000,36.400002,35.450001,36.240002,35.651913,8196500
2023-01-30,36.000000,36.889999,35.439999,35.470001,34.894409,6983000
2023-01-31,35.590000,36.070000,35.490002,35.770000,35.189541,5602200
2023-02-01,35.500000,36.130001,35.150002,35.630001,35.051815,9279100
2023-02-02,35.700001,37.310001,35.529999,36.820000,36.222500,9675900
2023-02-03,36.389999,36.779999,36.290001,36.349998,35.760124,4831100
2023-02-06,36.000000,36.349998,35.840000,36.020000,35.435486,4388700
2023-02-07,35.900002,36.400002,35.570000,36.189999,35.602722,5404900
2023-02-08,35.930000,36.090000,35.290001,35.299999,34.727165,5489000
2023-02-09,35.490002,35.840000,34.830002,34.849998,34.284470,5911400
2023-02-10,34.500000,34.740002,34.130001,34.570000,34.009014,4808700
2023-02-13,34.570000,35.200001,34.480000,35.070000,34.500900,3686000
2023-02-14,35.080002,35.660000,34.770000,35.509998,34.933758,5334900
2023-02-15,35.150002,35.849998,35.049999,35.720001,35.140354,5124600
2023-02-16,35.400002,35.490002,34.880001,35.410000,34.835381,5566900
2023-02-17,35.330002,35.480000,34.990002,35.360001,34.786194,4250800
2023-02-21,34.830002,34.970001,33.599998,33.759998,33.212154,6613300
2023-02-22,33.680000,34.000000,33.349998,33.599998,33.054752,5611200
2023-02-23,33.779999,33.919998,33.380001,33.639999,33.094105,6215100
2023-02-24,33.150002,33.610001,33.029999,33.570000,33.025238,5343000
2023-02-27,34.000000,34.119999,33.490002,33.540001,32.995728,4815300
2023-02-28,33.580002,33.970001,33.340000,33.580002,33.035084,5244400
2023-03-01,33.549999,33.840000,33.439999,33.650002,33.103943,3639500
2023-03-02,33.400002,33.930000,33.330002,33.919998,33.369560,3936700
2023-03-03,34.200001,34.459999,33.900002,34.180000,33.625343,3871900
2023-03-06,34.279999,34.480000,33.599998,33.759998,33.212154,5682200
2023-03-07,33.650002,34.099998,33.299999,33.369999,33.004459,7739300
2023-03-08,33.450001,33.919998,33.389999,33.900002,33.528656,5850400
2023-03-09,33.889999,34.380001,32.810001,33.080002,32.717636,8594100
2023-03-10,32.849998,33.029999,32.020000,32.770000,32.411034,13423400
2023-03-13,32.150002,32.320000,30.980000,31.059999,30.719761,12036000
2023-03-14,31.590000,31.900000,30.120001,30.530001,30.195568,15141200
2023-03-15,29.930000,30.299999,29.410000,29.730000,29.404331,12768800
2023-03-16,29.570000,30.590000,29.430000,30.480000,30.146114,9480400
2023-03-17,30.219999,30.400000,29.730000,30.030001,29.701046,7742700
