NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-941392.18,-1974123.00,1567184.00,14456.00,,38053.00,105263.00,,49470.00,18555.00,,12282.00,392432.00,0.00,1250679.00,3448374.00,1412942.00,436891.00,349647.00,932730.00,230769.00,434033.00,,387126.00,1238359.00,5422497.00,-277538.00,-7205.00,3516.00,-606.00,0.00,1047179.82,765346.82,-1208776.18,-267384.00,-941392.18,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2021,1
-924150.88,-2054835.60,997084.39,10237.76,,40153.37,93310.10,,16662.36,,,9670.67,-528.42,,944754.06,2111344.29,864261.41,351691.90,284329.18,1043206.74,110865.99,440109.22,,341284.37,730431.07,4166179.89,-180899.09,14401.34,-1396.88,,,1030970.17,863075.55,-1191760.05,-267609.18,-924150.88,,,,-924150.88,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2021,1
-856832.27,-856832.27,422854.74,5391.13,,45838.78,38473.36,,0.00,0.00,,1112.33,96906.06,0.00,19122.50,629698.90,486969.96,211242.33,125815.42,211761.85,51174.38,282659.16,0.00,115353.54,1554.53,1486531.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-856832.27,0.00,-856832.27,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10050,L,3,3,2021,1
-495659.68,-381423.16,4771941.71,3747.74,,43934.69,280641.32,,19553.42,0.00,,5253.11,531679.20,0.00,1729969.12,7386720.30,2263098.74,840272.98,598676.71,854695.80,317675.28,914904.93,0.00,417081.33,1561737.69,7768143.46,-432967.44,5481.75,-5473.39,0.00,0.00,65268.84,-367690.24,-749113.40,-253453.71,-495659.68,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2021,4
-446828.89,-339593.66,3385292.69,15489.02,,79323.23,185115.21,,55279.27,,,11850.44,2065.93,,1820255.38,5554671.17,1619145.85,481876.92,409116.28,1267879.36,229756.35,446053.01,,350241.95,1090195.11,5894264.83,-243594.29,18515.01,-6160.40,,,-20613.43,-251853.12,-591446.78,-144617.89,-446828.89,,,,-446828.89,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2021,4
-418985.00,-857855.00,,-1.00,,600363.00,,,,5024.00,,,17775.00,,1491959.00,2115120.00,240587.00,157612.00,,295039.00,52687.00,181591.00,,54808.00,1990651.00,2972975.00,-480.00,-2654.00,-7249.00,0.00,,350886.00,340503.00,-517352.00,-98367.00,-418985.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2021,3
-398421.00,-625132.00,,-1.00,,609587.00,,,,5440.00,,,62896.00,,1585405.00,2263327.00,252925.00,154388.00,,312304.00,43415.00,159767.00,,37345.00,1928315.00,2888459.00,80.00,-41232.00,-6639.00,0.00,,146601.00,98810.00,-526322.00,-127901.00,-398421.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2021,4
-369229.07,-369229.07,118153.52,12319.05,,127306.48,2785.34,,0.00,0.00,,136.56,16257.03,0.00,3483.08,280441.06,245388.56,82256.51,52811.22,89054.44,30807.90,106713.43,0.00,41671.89,966.18,649670.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-369229.07,0.00,-369229.07,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2021,2
-356826.00,-775805.00,,0.00,,627261.00,,,,8843.00,,,3356.00,,1597497.00,2236957.00,236203.00,183949.00,,343504.00,62158.00,207764.00,,52230.00,1926954.00,3012762.00,-965.00,20609.00,651.00,0.00,,237663.00,257958.00,-517847.00,-161021.00,-356826.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2021,2
-333521.00,277517.00,4386993.00,14323.00,,74285.00,193238.00,,108672.00,4955.00,,14546.00,629992.00,0.00,2360143.00,7787147.00,1840158.00,588707.00,566391.00,1215149.00,447726.00,494067.00,,404849.00,1952583.00,7509630.00,-228145.00,-9724.00,-8174.00,-1012.00,0.00,-353592.00,-600647.00,-323130.00,10391.00,-333521.00,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2021,4
