Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,33.250000,33.549999,32.340000,32.610001,32.541649,8640200
2023-01-04,32.950001,34.470001,32.939999,34.389999,34.317917,11318800
2023-01-05,34.689999,35.570000,34.520000,35.230000,35.156158,11332500
2023-01-06,35.189999,36.070000,35.099998,36.029999,35.954479,11110400
2023-01-09,36.540001,37.419998,36.349998,36.770000,36.692932,11251300
2023-01-10,36.669998,38.169998,36.660000,38.090000,38.010162,10283500
2023-01-11,37.919998,38.700001,37.820000,38.180000,38.099976,14336700
2023-01-12,38.840000,39.619999,38.320000,39.599998,39.516998,20052100
2023-01-13,36.549999,38.290001,36.520000,38.200001,38.119934,29120400
2023-01-17,38.200001,38.360001,37.560001,38.259998,38.179806,17803900
2023-01-18,39.070000,39.320000,38.310001,38.380001,38.299557,18661200
2023-01-19,37.849998,38.439999,37.029999,38.349998,38.269615,17006100
2023-01-20,38.520000,39.200001,38.340000,39.029999,38.948193,11998700
2023-01-23,39.200001,39.310001,38.730000,39.080002,38.998089,12459300
2023-01-24,39.250000,39.459999,38.450001,38.799999,38.718674,7679600
2023-01-25,38.730000,39.500000,38.619999,39.380001,39.297462,10181800
2023-01-26,39.419998,39.509998,38.619999,39.220001,39.137794,7618400
2023-01-27,39.000000,39.220001,38.700001,38.730000,38.648823,7298400
2023-01-30,38.430000,39.389999,38.259998,38.400002,38.319515,8982000
2023-01-31,38.810001,39.110001,38.369999,39.099998,39.018044,7919200
2023-02-01,38.840000,40.080002,38.599998,39.889999,39.806389,10781400
2023-02-02,40.209999,40.340000,39.509998,39.900002,39.816372,10322700
2023-02-03,39.299999,40.009998,39.290001,39.580002,39.497044,8279400
2023-02-06,39.270000,39.840000,39.080002,39.639999,39.556915,6453800
2023-02-07,39.500000,39.770000,38.669998,39.590000,39.507019,7994700
2023-02-08,40.000000,40.310001,39.160000,39.439999,39.357334,8942300
2023-02-09,39.720001,39.970001,38.880001,39.009998,38.928234,5840000
2023-02-10,38.500000,38.540001,37.820000,38.169998,38.089993,8190200
2023-02-13,38.150002,38.740002,37.980000,38.599998,38.519093,7842200
2023-02-14,38.529999,39.250000,38.250000,39.099998,39.018044,7286000
2023-02-15,38.669998,39.259998,38.610001,39.020000,38.938213,4151600
2023-02-16,38.619999,38.790001,38.220001,38.279999,38.199764,6273300
2023-02-17,38.169998,38.430000,37.669998,38.360001,38.279598,5961400
2023-02-21,37.900002,38.090000,36.820000,37.099998,37.022236,7276600
2023-02-22,37.000000,37.459999,36.840000,37.009998,36.932426,6220000
2023-02-23,37.630001,38.139999,37.160000,37.529999,37.451336,7620100
2023-02-24,36.799999,37.400002,36.660000,37.360001,37.281693,5482500
2023-02-27,37.810001,38.209999,37.560001,37.840000,37.760689,7961500
2023-02-28,37.639999,38.730000,37.639999,38.340000,38.259640,8203600
2023-03-01,38.340000,38.669998,38.009998,38.509998,38.429283,5983200
2023-03-02,38.110001,38.549999,37.849998,38.419998,38.339470,5295200
2023-03-03,38.990002,39.240002,38.580002,38.849998,38.768570,7160300
2023-03-06,38.990002,39.270000,38.360001,38.459999,38.379387,5238300
2023-03-07,38.910000,39.770000,38.700001,39.070000,38.988110,11338800
2023-03-08,39.209999,39.740002,39.169998,39.730000,39.646725,7836500
2023-03-09,39.740002,40.299999,38.320000,38.490002,38.409328,9930000
2023-03-10,38.919998,38.919998,36.580002,37.250000,37.171925,12931100
2023-03-13,36.410000,36.560001,35.389999,35.680000,35.605217,14734000
2023-03-14,36.380001,36.490002,35.099998,35.470001,35.395657,14902900
2023-03-15,34.369999,34.500000,32.580002,33.230000,33.160351,18703300
2023-03-16,33.119999,33.889999,32.630001,33.709999,33.639343,13436300
2023-03-17,33.259998,33.349998,32.509998,32.959999,32.890915,12989700
2023-03-20,33.080002,33.520000,32.919998,33.139999,33.070538,9241000
2023-03-21,33.720001,34.139999,33.650002,33.889999,33.818966,8366000
2023-03-22,33.889999,34.020000,32.730000,32.770000,32.701313,10330400
2023-03-23,33.000000,33.349998,31.809999,32.139999,32.072636,10506900
2023-03-24,31.740000,31.860001,31.040001,31.590000,31.523788,12647300
2023-03-27,32.180000,32.299999,31.740000,32.130001,32.062656,7194500
2023-03-28,32.000000,32.529999,31.969999,32.470001,32.401943,6752000
2023-03-29,32.830002,33.419998,32.520000,33.320000,33.250160,9977900
2023-03-30,33.709999,34.290001,33.709999,34.110001,34.038506,10614900
2023-03-31,34.500000,34.939999,34.369999,34.919998,34.846806,9177200
2023-04-03,34.480000,34.849998,34.160000,34.389999,34.317917,9275500
2023-04-04,34.570000,34.700001,33.500000,33.919998,33.848904,8551700
2023-04-05,33.560001,33.630001,32.849998,33.459999,33.389866,8679600
2023-04-06,33.580002,33.820000,33.220001,33.689999,33.619385,6291800
2023-04-10,33.689999,34.160000,33.619999,33.970001,33.898800,8534800
2023-04-11,33.970001,34.779999,33.939999,34.580002,34.507523,9801200
