NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-926651.76,-970631.34,3170820.57,11053.92,,78984.78,174972.83,,24215.51,,,9818.56,1822.03,,1614074.98,5085763.18,1833927.40,507177.24,422771.28,1253725.22,224439.72,417900.40,,343137.85,1053315.41,6056394.52,-236280.76,17220.76,-2779.15,,,14322.43,-207516.71,-1178148.05,-251496.29,-926651.76,,,,-926651.76,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2022,1
-791402.17,-908657.28,4328613.36,3337.78,,44924.64,236396.32,,2213.14,0.00,,5472.04,501964.71,0.00,1487392.66,6610314.65,2293325.17,791433.69,502789.20,793419.51,281149.61,970451.63,0.00,325963.87,1560439.25,7518971.93,-429265.23,5451.27,-6153.17,0.00,0.00,111506.12,-318461.02,-1227118.30,-435716.13,-791402.17,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2022,1
-745059.00,-980745.00,,-2.00,,509666.00,,,,17069.00,,,35916.00,,1416576.00,1979225.00,373577.00,162805.00,,215429.00,38277.00,166228.00,,71586.00,1932068.00,2959970.00,-1987.00,22285.00,-23401.00,0.00,,48112.00,45009.00,-935736.00,-190677.00,-745059.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2022,2
-682518.00,-826177.00,,-3.00,,412633.00,,,,10591.00,,,26724.00,,1449702.00,1899647.00,298125.00,149154.00,,204459.00,29104.00,160235.00,,66751.00,1817996.00,2725824.00,5526.00,3854.00,11576.00,0.00,,46104.00,67060.00,-759117.00,-76599.00,-682518.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2022,4
-671980.00,-497580.00,4331022.00,11848.00,,75837.00,180783.00,,73337.00,5095.00,,17475.00,669047.00,0.00,2319774.00,7684218.00,2224591.00,654061.00,629967.00,1213817.00,464025.00,473860.00,,396932.00,2124545.00,8181798.00,-213335.00,-3825.00,27.00,1807.00,0.00,-164034.00,-379360.00,-876940.00,-204960.00,-671980.00,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2022,1
-577571.00,-868106.00,,-1.00,,617378.00,,,,11428.00,,,54533.00,,1470946.00,2154284.00,302226.00,165506.00,,328656.00,40449.00,197750.00,,66919.00,1920884.00,3022390.00,-8029.00,-1877.00,-5083.00,0.00,,191108.00,176119.00,-691987.00,-114416.00,-577571.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2022,1
-540799.00,-912379.00,,-1.00,,542868.00,,,,12496.00,,,25329.00,,1204518.00,1785210.00,319288.00,169079.00,,217088.00,38584.00,194316.00,,72761.00,1686473.00,2697589.00,230.00,2728.00,-21061.00,0.00,,177148.00,159045.00,-753334.00,-212535.00,-540799.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2022,3
-438265.22,-438265.22,442277.60,12207.98,,166560.91,7658.45,,0.00,0.00,,432.60,66098.43,0.00,16108.25,711344.21,465801.93,147063.20,93391.23,147332.10,52401.28,180669.51,0.00,60537.12,2413.06,1149609.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-438265.22,0.00,-438265.22,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2022,1
-306299.98,-306299.98,1428036.18,13343.35,,204702.11,14282.21,,0.00,0.00,,879.26,153958.22,0.00,37549.55,1852750.87,999884.04,240004.84,168635.64,251309.77,119834.98,273574.01,0.00,100351.89,5455.69,2159050.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-306299.98,0.00,-306299.98,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2022,2
-290930.71,-290930.71,1122636.48,5139.51,,69199.07,69796.44,,0.00,0.00,,1098.57,138253.60,0.00,33565.82,1439689.50,658809.13,230709.69,146600.95,231272.99,81849.08,282512.97,0.00,95079.87,3785.54,1730620.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-290930.71,0.00,-290930.71,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10050,L,3,3,2022,1
