NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-181.87,-180.60,,,,,,,,37.83,,,,,,37.83,69.46,60.53,,,,,32.23,52.99,3.23,218.43,-1.45,,,,,0.19,-1.26,-181.87,,,,,,,,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,16770,I,1,1,2020,1
-178.77,-744.61,1291.85,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,18.92,1310.76,747.13,723.74,122.54,55.10,0.65,119.77,0.00,286.44,0.00,2055.37,-37.96,0.00,0.00,0.00,0.00,626.13,588.18,-156.43,22.34,-178.77,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2020,3
-172.38,-172.38,0.00,3557.41,,2832.35,0.00,,0.00,4360.54,,0.00,1445.74,0.00,190.14,12386.18,3575.36,2991.37,,,,,4138.45,411.48,1441.90,12558.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-172.38,0.00,-172.38,0.00,0.00,0.00,-172.38,0.00,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,06721,D,1,1,2020,1
-152.65,-107.45,2173.29,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,36.14,2209.43,933.53,737.78,194.52,78.01,1.02,102.90,0.00,269.12,0.00,2316.88,-39.76,0.00,0.00,0.00,0.00,1.73,-38.02,-145.47,7.18,-152.65,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2020,1
-145.76,-4873.07,0.00,0.00,,0.00,0.00,,252.67,0.00,,0.00,1.94,0.00,0.00,254.61,1066.29,536.37,151.92,260.75,169.19,1172.61,232.22,591.11,947.22,5127.68,97.49,0.00,0.00,0.00,0.00,4629.82,4727.31,-145.76,0.00,-145.76,0.00,0.00,0.00,,0.00,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",01159,D,1,1,2020,2
-144.07,-144.07,0.00,2973.28,,2367.27,0.00,,0.00,3644.53,,0.00,1208.35,0.00,158.92,10352.36,2988.28,2500.19,,,,,3458.91,343.91,1205.14,10496.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-144.07,0.00,-144.07,0.00,0.00,0.00,-144.07,0.00,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,11041,I,1,1,2020,1
-105.35,-446.70,231.99,0.00,,0.00,27.56,,0.00,0.00,,0.00,40.51,40.30,0.00,340.36,204.90,79.61,0.00,0.00,0.00,0.00,466.88,35.67,0.00,787.06,0.00,-138.08,0.00,0.00,0.00,479.43,341.35,-105.35,0.00,-105.35,0.00,0.00,0.00,,0.00,20401,3M,Silver Airways,3M,Silver Airways,11056,I,1,1,2020,3
-105.20,212.92,0.00,,,711.42,0.00,,0.00,651.97,,0.00,42.67,0.00,0.00,1406.05,504.21,599.29,0.00,14.87,1.39,72.50,,92.54,-91.68,1193.13,0.00,-288.92,0.00,0.00,0.00,0.00,-288.92,-76.00,29.20,-105.20,0.00,0.00,0.00,,0.00,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,11009,A,2,2,2020,1
-97.62,-97.67,398.36,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.07,398.43,132.50,227.09,53.50,35.30,0.27,42.31,0.00,5.14,0.00,496.10,0.00,0.00,0.00,0.00,0.00,0.05,0.05,-97.62,0.00,-97.62,0.00,0.00,0.00,,0.00,21167,CP (2),Compass Airlines,CP,Compass Airlines,11015,L,2,2,2020,1
-66.85,-148.01,0.00,0.00,76374.70,76374.70,0.00,4023.71,0.00,4023.71,129972.92,0.00,129972.92,0.00,0.00,210371.32,173277.76,596.87,0.00,22329.28,6660.84,2116.27,,138.56,5399.76,210519.33,4.57,0.00,76.59,0.00,0.00,0.00,81.16,-66.85,0.00,-66.85,0.00,0.00,0.00,-66.85,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16758,P,3,3,2020,1
