NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-712607.00,-746208.00,,0.00,,352749.00,,,,5050.00,,,19237.00,,1498990.00,1876026.00,226334.00,149045.00,,194639.00,33069.00,154960.00,,65397.00,1798790.00,2622234.00,6615.00,7512.00,-2313.00,0.00,,-145473.00,-133659.00,-879867.00,-167260.00,-712607.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2023,2
-298791.00,-618862.00,,0.00,,392682.00,,,,14689.00,,,19094.00,,1534404.00,1960869.00,241036.00,152447.00,,189521.00,29102.00,151055.00,,66689.00,1749881.00,2579731.00,12921.00,3033.00,1020.00,0.00,,227880.00,244854.00,-374008.00,-75217.00,-298791.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2023,1
-294047.62,-294047.62,895106.59,7515.70,,124382.84,8503.14,,0.00,0.00,,676.67,106397.22,0.00,26851.17,1169433.32,630708.76,185401.09,119344.43,179890.88,73398.78,201394.12,0.00,68239.18,5103.70,1463480.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-294047.62,0.00,-294047.62,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2023,1
-258801.65,-234102.19,5015655.46,10224.02,,68087.22,210466.52,,17355.33,,,14135.75,2404.92,,1828354.96,7166684.19,2484740.98,719231.35,487044.72,1439040.96,344306.20,447484.94,,358956.18,1119981.05,7400786.38,-262822.70,120053.70,414.55,,,35918.04,-106436.42,-340538.61,-81736.96,-258801.65,,,,-258801.65,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
-233930.65,-295070.82,1464226.29,0.00,,101.75,104368.02,,224.13,0.00,,10284.49,4639.21,0.00,104844.29,1688688.19,995554.51,191554.60,156726.15,320424.18,92466.13,109021.26,,117395.65,616.53,1983759.01,-35081.00,3599.05,1313.58,690.49,2707.83,-3087.70,-29857.75,-324928.57,-90997.92,-233930.65,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2023,1
-185853.00,437900.00,5914695.00,9697.00,,60430.00,172908.00,,77822.00,85.00,,21885.00,1021000.00,0.00,2275199.00,9553721.00,2643680.00,762432.00,806149.00,1367143.00,619347.00,614494.00,,417609.00,1884967.00,9115821.00,-186331.00,-12578.00,-9277.00,20193.00,0.00,-538496.00,-726489.00,-288589.00,-102736.00,-185853.00,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
-153850.00,-274205.00,4697111.00,587.00,,38321.00,15128.00,,5787.00,0.00,,,714492.00,0.00,33340.00,5504766.00,2457115.00,476430.00,435702.00,1066407.00,272711.00,685707.00,,351998.00,32901.00,5778971.00,-61202.00,3871.00,-1099.00,0.00,,135485.00,77055.00,-197150.00,-43300.00,-153850.00,0.00,0.00,0.00,-153850.00,0.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2023,1
-144284.30,-202249.47,0.00,45812.83,,1148549.35,0.00,,0.00,0.00,,0.00,26991.69,0.00,116.89,1221470.75,749468.57,340617.26,0.00,142458.16,1490.51,75939.87,0.00,113745.86,0.00,1423720.22,0.00,5735.79,-721.21,2255.65,0.00,-17474.88,-10204.65,-212454.12,-68169.82,-144284.30,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2023,1
-138721.03,-133100.80,1588770.43,7883.09,,164140.00,18393.12,,,,,3608.64,825.09,,48867.65,1832488.01,885720.21,186443.47,226099.81,270020.51,103863.32,122880.89,,141828.21,28732.39,1965588.81,-110009.45,43817.81,5466.92,,,11130.13,-49594.59,-182695.39,-43974.37,-138721.03,,,,-138721.03,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2023,1
-134439.12,-134090.48,0.00,0.00,89157.74,89157.74,0.00,237394.36,30103.74,207290.62,5812.63,0.00,5812.63,0.00,0.00,332364.73,291227.18,56878.63,5775.12,56286.01,6867.58,29042.88,,20307.12,70.71,466455.21,447.03,0.00,-102.66,-0.76,0.00,-181.76,161.85,-133928.63,510.49,-134439.12,0.00,0.00,0.00,-134439.12,0.00,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,3,3,2023,1
