MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,1,,,,,HA,19690,HA,N393HA,1,12892,1289208,32575,LAX,12173,1217305,32134,HNL,700,754.0,54.0,54.0,1.0,3.0,0700-0759,13.0,807.0,1026.0,18.0,955,1044.0,49.0,49.0,1.0,3.0,0900-0959,0.0,,0.0,355.0,350.0,319.0,1.0,2556.0,11,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,10,,,,,HA,19690,HA,N382HA,10,12173,1217305,32134,HNL,12892,1289208,32575,LAX,750,808.0,18.0,18.0,1.0,1.0,0700-0759,17.0,825.0,1613.0,5.0,1620,1618.0,-2.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,330.0,310.0,288.0,1.0,2556.0,11,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,101,,,,,HA,19690,HA,N494HA,101,12402,1240203,32402,ITO,12173,1217305,32134,HNL,600,557.0,-3.0,0.0,0.0,-1.0,0600-0659,9.0,606.0,643.0,10.0,653,653.0,0.0,0.0,0.0,0.0,0600-0659,0.0,,0.0,53.0,56.0,37.0,1.0,216.0,1,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,104,,,,,HA,19690,HA,N488HA,104,12982,1298202,32982,LIH,12173,1217305,32134,HNL,600,558.0,-2.0,0.0,0.0,-1.0,0600-0659,8.0,606.0,627.0,9.0,637,636.0,-1.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,37.0,38.0,21.0,1.0,102.0,1,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,105,,,,,HA,19690,HA,N492HA,105,13830,1383002,33830,OGG,12173,1217305,32134,HNL,600,638.0,38.0,38.0,1.0,2.0,0600-0659,11.0,649.0,711.0,7.0,637,718.0,41.0,41.0,1.0,2.0,0600-0659,0.0,,0.0,37.0,40.0,22.0,1.0,100.0,1,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,107,,,,,HA,19690,HA,N478HA,107,12758,1275804,32758,KOA,12173,1217305,32134,HNL,615,642.0,27.0,27.0,1.0,1.0,0600-0659,10.0,652.0,721.0,12.0,702,733.0,31.0,31.0,1.0,2.0,0700-0759,0.0,,0.0,47.0,51.0,29.0,1.0,163.0,1,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,11,,,,,HA,19690,HA,N388HA,11,14771,1477104,32457,SFO,12173,1217305,32134,HNL,750,814.0,24.0,24.0,1.0,1.0,0700-0759,15.0,829.0,1030.0,13.0,1020,1043.0,23.0,23.0,1.0,1.0,1000-1059,0.0,,0.0,330.0,329.0,301.0,1.0,2398.0,10,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,112,,,,,HA,19690,HA,N487HA,112,12173,1217305,32134,HNL,12402,1240203,32402,ITO,605,603.0,-2.0,0.0,0.0,-1.0,0600-0659,14.0,617.0,654.0,6.0,700,700.0,0.0,0.0,0.0,0.0,0700-0759,0.0,,0.0,55.0,57.0,37.0,1.0,216.0,1,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,115,,,,,HA,19690,HA,N494HA,115,13830,1383002,33830,OGG,12173,1217305,32134,HNL,840,834.0,-6.0,0.0,0.0,-1.0,0800-0859,8.0,842.0,907.0,11.0,918,918.0,0.0,0.0,0.0,0.0,0900-0959,0.0,,0.0,38.0,44.0,25.0,1.0,100.0,1,,,
HA,2022,4,11,1,2,11/1/2022 12:00:00 AM,HA,19690,HA,119,,,,,HA,19690,HA,N495HA,119,12402,1240203,32402,ITO,13830,1383002,33830,OGG,750,746.0,-4.0,0.0,0.0,-1.0,0700-0759,10.0,756.0,819.0,6.0,830,825.0,-5.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,40.0,39.0,23.0,1.0,121.0,1,,,
