MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,1,,,,,HA,19690,HA,N399HA,1,12892,1289208,32575,LAX,12173,1217305,32134,HNL,700,659.0,-1.0,0.0,0.0,-1.0,0700-0759,15.0,714.0,1016.0,8.0,1105,1024.0,-41.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,365.0,325.0,302.0,1.0,2556.0,11,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,10,,,,,HA,19690,HA,N378HA,10,12173,1217305,32134,HNL,12892,1289208,32575,LAX,755,753.0,-2.0,0.0,0.0,-1.0,0700-0759,17.0,810.0,1521.0,10.0,1525,1531.0,6.0,6.0,0.0,0.0,1500-1559,0.0,,0.0,330.0,338.0,311.0,1.0,2556.0,11,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,101,,,,,HA,19690,HA,N490HA,101,12402,1240203,32402,ITO,12173,1217305,32134,HNL,600,554.0,-6.0,0.0,0.0,-1.0,0600-0659,11.0,605.0,640.0,6.0,650,646.0,-4.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,50.0,52.0,35.0,1.0,216.0,1,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,104,,,,,HA,19690,HA,N479HA,104,12982,1298202,32982,LIH,12173,1217305,32134,HNL,600,556.0,-4.0,0.0,0.0,-1.0,0600-0659,8.0,604.0,627.0,7.0,635,634.0,-1.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,35.0,38.0,23.0,1.0,102.0,1,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,105,,,,,HA,19690,HA,N488HA,105,13830,1383002,33830,OGG,12173,1217305,32134,HNL,600,553.0,-7.0,0.0,0.0,-1.0,0600-0659,10.0,603.0,625.0,7.0,637,632.0,-5.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,37.0,39.0,22.0,1.0,100.0,1,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,107,,,,,HA,19690,HA,N493HA,107,12758,1275804,32758,KOA,12173,1217305,32134,HNL,600,555.0,-5.0,0.0,0.0,-1.0,0600-0659,9.0,604.0,633.0,7.0,646,640.0,-6.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,46.0,45.0,29.0,1.0,163.0,1,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,11,,,,,HA,19690,HA,N360HA,11,14771,1477104,32457,SFO,12173,1217305,32134,HNL,915,915.0,0.0,0.0,0.0,0.0,0900-0959,14.0,929.0,1209.0,5.0,1300,1214.0,-46.0,0.0,0.0,-2.0,1300-1359,0.0,,0.0,345.0,299.0,280.0,1.0,2398.0,10,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,112,,,,,HA,19690,HA,N484HA,112,12173,1217305,32134,HNL,12402,1240203,32402,ITO,540,536.0,-4.0,0.0,0.0,-1.0,0001-0559,16.0,552.0,633.0,7.0,634,640.0,6.0,6.0,0.0,0.0,0600-0659,0.0,,0.0,54.0,64.0,41.0,1.0,216.0,1,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,119,,,,,HA,19690,HA,N491HA,119,12402,1240203,32402,ITO,13830,1383002,33830,OGG,755,751.0,-4.0,0.0,0.0,-1.0,0700-0759,8.0,759.0,826.0,6.0,835,832.0,-3.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,40.0,41.0,27.0,1.0,121.0,1,,,
HA,2021,4,12,1,3,12/1/2021 12:00:00 AM,HA,19690,HA,12,,,,,HA,19690,HA,N389HA,12,12173,1217305,32134,HNL,14771,1477104,32457,SFO,1430,1446.0,16.0,16.0,1.0,1.0,1400-1459,23.0,1509.0,2158.0,8.0,2145,2206.0,21.0,21.0,1.0,1.0,2100-2159,0.0,,0.0,315.0,320.0,289.0,1.0,2398.0,10,,,
